avatarThumbnail,cid,createTime,createTimeISO,detailedMentions/0/nickName,detailedMentions/0/profileUrl,diggCount,input,likedByAuthor,mentions/0,pinnedByAuthor,repliesToId,replyCommentTotal,submittedVideoUrl,text,uid,uniqueId,videoWebUrl
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/73cd25cbfe825614c2ba4269d2a58901~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=19357b3a&x-expires=1752123600&x-signature=CDn36vT353abfTMaxQ4qiI%2BsgWw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7.49489E+18,1745039047,2025-04-19T05:04:07.000Z,ania dulce,https://www.tiktok.com/@undefined,1580,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,false,Tania dulce,false,,12,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,Tania dulce está disponible,7.44254E+18,maquina_cuy3,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/443a6d22375b62a41e4e9df84f61c842~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=38d24444&x-expires=1752123600&x-signature=rk5TlzWW4GV%2F3V%2FPD3u303YjbGo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7.48431E+18,1742576421,2025-03-21T17:00:21.000Z,,,2433,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,false,,false,,75,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,"eso no es peru, ahi hay arboles",7.36312E+18,keis1211,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606
https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/34a68578e267b860356c6df6c9fa86f9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a7136e21&x-expires=1752123600&x-signature=r2gCg1M4LTZaxyRGvZqJ8ADK430%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7.50107E+18,1746479825,2025-05-05T21:17:05.000Z,,,123,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,false,,false,,6,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,"????: paloma ??
????: paloma ??
????: paloma ??
????: paloma ??
????: comida ??????",7.43379E+18,daniely7070,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606
https://p16-common-sign-va.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2af9ba4f&x-expires=1752123600&x-signature=q49ZoPWqsM%2Fzt5YbNq%2BKG2m9Z%2Fc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7.47922E+18,1741392305,2025-03-08T00:05:05.000Z,,,458,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,true,,false,,2,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,dime dónde es para no ir,7.34231E+18,__julio_200,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/0feb0b0daef8a0d0ac3e83b8e3f8229b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f7eac04c&x-expires=1752123600&x-signature=QZQ8c4rsHgh3Kgs2Z%2FNsDV7BvhA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7.48913E+18,1743699665,2025-04-03T17:01:05.000Z,,,833,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,false,,false,,42,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,¿Es ilegal ser guapo en Peru?,7.46844E+18,sara_sarita5139,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/e6e78be88affbcd253104cded7d6d064~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=80765084&x-expires=1752123600&x-signature=6jruWt7KaTrxvIlzZ670ueWlD4s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7.50081E+18,1746419117,2025-05-05T04:25:17.000Z,,,14,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,false,,false,,2,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,Hola guapo,7.46923E+18,donpedro838,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/be5bd35abf8045024af77407b7c75ad5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dd140a4f&x-expires=1752123600&x-signature=H86tvjVdh8Ax5lajv6w6JAvtS3s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7.5148E+18,1749675302,2025-06-11T20:55:02.000Z,,,32,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,false,,false,,1,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,Perdón por verte sin tu permiso,6.96464E+18,cuco_ortega,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606
https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/826031a077c794b5aa1eb176af5b9069~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=121b6950&x-expires=1752123600&x-signature=yRpwE1CsI1jSaRY1WEsKXBcsjJU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7.51291E+18,1749235686,2025-06-06T18:48:06.000Z,,,17,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,false,,false,,1,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,Yoo por ti dejo a todos????,6.68622E+18,dianaaax7,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/b0e87ea86ff24288994a384b5c649c3f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5ea7bb21&x-expires=1752123600&x-signature=s5D6NoxseBbmNrUSnpwWLdAuZkY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7.49587E+18,1745267409,2025-04-21T20:30:09.000Z,,,132,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,false,,false,,13,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,"(A) peru ????
(B) peru ????
(C) Peru ????
(D) todas las anteriores",7.27702E+18,uwudyh77374,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606
https://p19-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/1c981aa4f90f6a7c6b7b26e36bd4f0a2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0c1173df&x-expires=1752123600&x-signature=%2BD8DpgldXnBvk%2F2brkkqM44KRXc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7.48876E+18,1743611762,2025-04-02T16:36:02.000Z,,,44,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,false,,false,,1,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606?q=peruanos%20memes&t=1752039031711,No se peleen chicas ??????,6.82009E+18,vaqueroslizzz,https://www.tiktok.com/@lapapaochoa/video/7478141719662562606
